variable,family,year,present_in_schema,label,same_broad_meaning_as_first_available_year,user_note_hazard_summary,stacking_assessment
EPR_SCRNR,scrnr,2019,Y,Edited indicator for Private Lines 1 & 2 health insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EPR_SCRNR,scrnr,2020,Y,Edited indicator for Private Lines 1 & 2 health insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EPR_SCRNR,scrnr,2021,Y,Screener indicating Private health insurance coverage (lines 1 and 2) during the reference period (person-level variable),YES_WORDING_SHIFT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EPR_SCRNR,scrnr,2022,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EPR_SCRNR,scrnr,2023,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EPR_SCRNR,scrnr,2024,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMC_SCRNR,scrnr,2018,Y,Edited indicator for Medicare insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMC_SCRNR,scrnr,2019,Y,Edited indicator for Medicare insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMC_SCRNR,scrnr,2020,Y,Edited indicator for Medicare insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMC_SCRNR,scrnr,2021,Y,Screener indicating Medicare insurance coverage during the reference period (person-level variable),YES_WORDING_SHIFT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMC_SCRNR,scrnr,2022,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMC_SCRNR,scrnr,2023,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMC_SCRNR,scrnr,2024,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMD_SCRNR,scrnr,2018,Y,Edited indicator for Medical Assistance (Medicaid) coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMD_SCRNR,scrnr,2019,Y,Edited indicator for Medical Assistance (Medicaid) coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMD_SCRNR,scrnr,2020,Y,Edited indicator for Medical Assistance (Medicaid) coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMD_SCRNR,scrnr,2021,Y,Screener indicating Medical Assistance (Medicaid) coverage during the reference period (person-level variable) (see 2021 SIPP user note),YES_WORDING_SHIFT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMD_SCRNR,scrnr,2022,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMD_SCRNR,scrnr,2023,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EMD_SCRNR,scrnr,2024,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EML_SCRNR,scrnr,2018,Y,Edited indicator for Military health insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EML_SCRNR,scrnr,2019,Y,Edited indicator for Military health insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EML_SCRNR,scrnr,2020,Y,Edited indicator for Military health insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EML_SCRNR,scrnr,2021,Y,Screener indicating Military health insurance coverage during the reference period (person-level variable),YES_WORDING_SHIFT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EML_SCRNR,scrnr,2022,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EML_SCRNR,scrnr,2023,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EML_SCRNR,scrnr,2024,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EOT_SCRNR,scrnr,2018,Y,Edited indicator for 'Other' health insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EOT_SCRNR,scrnr,2019,Y,Edited indicator for 'Other' health insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EOT_SCRNR,scrnr,2020,Y,Edited indicator for 'Other' health insurance coverage at any time during the reference period (person-level variable).,YES_EXACT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EOT_SCRNR,scrnr,2021,Y,Screener indicating Other health insurance coverage during the reference period (person-level variable),YES_WORDING_SHIFT,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EOT_SCRNR,scrnr,2022,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EOT_SCRNR,scrnr,2023,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
EOT_SCRNR,scrnr,2024,N,,NO,2018-2021 scrnr_vs_recodes; removed from 2022+ public-use,Not stable across years and not recommended for annual coverage estimation.
RMARKTPLACE,marketplace,2018,Y,"Monthly recode - indicates private direct purchase, Medicaid/Medical Assistance, or other coverage obtained through healthcare.gov or a state-based marketplace/exchange.",YES_EXACT,Marketplace variable scope caution; direct monthly_hi linkage NOT YET CHECKED,"Meaning stable, but not coverage-type-specific."
RMARKTPLACE,marketplace,2019,Y,"Monthly recode - indicates private direct purchase, Medicaid/Medical Assistance, or other coverage obtained through healthcare.gov or a state-based marketplace/exchange.",YES_EXACT,Marketplace variable scope caution; direct monthly_hi linkage NOT YET CHECKED,"Meaning stable, but not coverage-type-specific."
RMARKTPLACE,marketplace,2020,Y,"Monthly recode - indicates private direct purchase, Medicaid/Medical Assistance, or other coverage obtained through healthcare.gov or a state-based marketplace/exchange.",YES_EXACT,Marketplace variable scope caution; direct monthly_hi linkage NOT YET CHECKED,"Meaning stable, but not coverage-type-specific."
RMARKTPLACE,marketplace,2021,Y,"Has private direct purchase health insurance coverage, Medicaid/Medical Assistance, or other health insurance coverage obtained through a state-based marketplace/exchange in the current month",YES_WORDING_SHIFT,Marketplace variable scope caution; direct monthly_hi linkage NOT YET CHECKED,"Meaning stable, but not coverage-type-specific."
RMARKTPLACE,marketplace,2022,Y,"Has private direct purchase health insurance coverage, Medicaid/Medical Assistance, or other health insurance coverage obtained through a state-based marketplace/exchange in the current month",YES_WORDING_SHIFT,Marketplace variable scope caution; direct monthly_hi linkage NOT YET CHECKED,"Meaning stable, but not coverage-type-specific."
RMARKTPLACE,marketplace,2023,Y,"Private health insurance, Medicaid/Medical Assistance, or Other health insurance obtained through the Marketplace/Exchange in this month",YES_WORDING_SHIFT,Marketplace variable scope caution; direct monthly_hi linkage NOT YET CHECKED,"Meaning stable, but not coverage-type-specific."
RMARKTPLACE,marketplace,2024,Y,"Private health insurance, Medicaid/Medical Assistance, or Other health insurance obtained through the Marketplace/Exchange in this month",YES_WORDING_SHIFT,Marketplace variable scope caution; direct monthly_hi linkage NOT YET CHECKED,"Meaning stable, but not coverage-type-specific."
EOTMTH,other_coverage,2018,Y,Edited Monthly Indicator for Other Health Coverage,YES_EXACT,2018-2023 monthly_hi_processing_error; other_coverage_ambiguity in all years,"Present throughout, but conceptually ambiguous."
EOTMTH,other_coverage,2019,Y,Edited Monthly Indicator for Other Health Coverage,YES_EXACT,2018-2023 monthly_hi_processing_error; other_coverage_ambiguity in all years,"Present throughout, but conceptually ambiguous."
EOTMTH,other_coverage,2020,Y,Edited Monthly Indicator for Other Health Coverage,YES_EXACT,2018-2023 monthly_hi_processing_error; other_coverage_ambiguity in all years,"Present throughout, but conceptually ambiguous."
EOTMTH,other_coverage,2021,Y,Edited Monthly Indicator for Other Health Insurance Coverage,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; other_coverage_ambiguity in all years,"Present throughout, but conceptually ambiguous."
EOTMTH,other_coverage,2022,Y,Edited Monthly Indicator for Other Health Insurance Coverage,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; other_coverage_ambiguity in all years,"Present throughout, but conceptually ambiguous."
EOTMTH,other_coverage,2023,Y,Edited Monthly Indicator for Other Health Insurance Coverage,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; other_coverage_ambiguity in all years,"Present throughout, but conceptually ambiguous."
EOTMTH,other_coverage,2024,Y,Edited Monthly Indicator for Other Health Insurance Coverage,YES_WORDING_SHIFT,2018-2023 monthly_hi_processing_error; other_coverage_ambiguity in all years,"Present throughout, but conceptually ambiguous."
